y	i	t	d
24	TIA	P	3
30	TIA	P	3
35	TIA	P	3
29	TIA	P	1.5
35	TIA	P	1.5
37	TIA	P	1.5
19	TIA	P	0.75
22	TIA	P	0.75
24	TIA	P	0.75
16	TIA	P	0.375
19	TIA	P	0.375
17	TIA	P	0.375
16	TIA	P	0.1875
24	TIA	P	0.1875
23	TIA	P	0.1875
15	TIA	P	0.09375
19	TIA	P	0.09375
10	TIA	P	0.09375
23	TIA	P	0.046875
18	TIA	P	0.046875
12	TIA	P	0.046875
15	TIA	P	0.0234375
16	TIA	P	0.0234375
18	TIA	P	0.0234375
41	TIA	P	0.01171875
30	TIA	P	0.01171875
31	TIA	P	0.01171875
30	TIA	P	0.005859375
29	TIA	P	0.005859375
30	TIA	P	0.005859375
32	TIA	P	0.002929688
22	TIA	P	0.002929688
32	TIA	P	0.002929688
29	TIA	P	0
22	TIA	P	0
23	TIA	P	0
25	TIA	P	0
16	TIA	P	0
33	TIA	P	0
32	TIA	P	0
32	TIA	P	0
38	TIA	N	3
42	TIA	N	3
28	TIA	N	3
34	TIA	N	1.5
31	TIA	N	1.5
30	TIA	N	1.5
17	TIA	N	0.75
25	TIA	N	0.75
23	TIA	N	0.375
27	TIA	N	0.375
24	TIA	N	0.375
27	TIA	N	0.1875
41	TIA	N	0.1875
29	TIA	N	0.1875
23	TIA	N	0.09375
28	TIA	N	0.09375
25	TIA	N	0.09375
21	TIA	N	0.046875
32	TIA	N	0.046875
24	TIA	N	0.046875
24	TIA	N	0.0234375
26	TIA	N	0.0234375
22	TIA	N	0.0234375
29	TIA	N	0.01171875
38	TIA	N	0.01171875
30	TIA	N	0.01171875
35	TIA	N	0.005859375
37	TIA	N	0.005859375
45	TIA	N	0.005859375
18	TIA	N	0
27	TIA	N	0
31	TIA	N	0
26	TIA	N	0
31	TIA	N	0
26	TIA	N	0
36	TIA	N	0
21	TIA	N	0
526	FIP	P	25
502	FIP	P	25
583	FIP	P	25
57	FIP	P	2.5
64	FIP	P	2.5
53	FIP	P	2.5
34	FIP	P	0.25
31	FIP	P	0.25
37	FIP	P	0.25
39	FIP	P	0.025
32	FIP	P	0.025
26	FIP	P	0.025
28	FIP	P	0.0025
34	FIP	P	0.0025
32	FIP	P	0.0025
25	FIP	P	0.00025
26	FIP	P	0.00025
27	FIP	P	0.00025
28	FIP	P	0
25	FIP	P	0
33	FIP	P	0
35	FIP	P	0
32	FIP	P	0
623	FIP	N	25
650	FIP	N	25
548	FIP	N	25
112	FIP	N	2.5
75	FIP	N	2.5
88	FIP	N	2.5
42	FIP	N	0.25
45	FIP	N	0.25
38	FIP	N	0.25
30	FIP	N	0.025
43	FIP	N	0.025
49	FIP	N	0.025
36	FIP	N	0.0025
48	FIP	N	0.0025
37	FIP	N	0.0025
39	FIP	N	0.00025
35	FIP	N	0.00025
46	FIP	N	0.00025
30	FIP	N	0
24	FIP	N	0
33	FIP	N	0
24	FIP	N	0
32	FIP	N	0
